version,tstamp,name,mean,stddev,median,user,system,min,max,recs_per_sec
5.0.3,2025-05-22-15,flatten,6.141444444666667,0.004734280988425643,6.142635209,6.079100666666666,0.059195,6.136228459,6.145469666,162840
5.0.3,2025-05-22-15,flatten_condensed,6.590394236000001,0.010890810897179075,6.593692666,6.519165999999999,0.06778933333333333,6.5782355,6.599254542,151745
5.0.3,2025-05-22-15,fmt,0.9616276250000001,0.0009520348847994097,0.962111,0.9136653333333333,0.045052333333333326,0.960530875,0.962241,1039501
5.0.3,2025-05-22-15,fmt_no_crlf,0.9624911806666668,0.003739775454565968,0.960530709,0.9134803333333333,0.04627166666666666,0.9601392500000001,0.966803583,1039501
5.0.3,2025-05-22-15,fmt_no_final_newline,0.9611809166666667,0.00018858606383381795,0.961162583,0.913014,0.045233,0.9610021670000001,0.9613780000000001,1040583
5.0.3,2025-05-22-15,foreach,0.008079652666666668,0.000016393956091600906,0.008074000000000001,0.005023,0.0017543333333333334,0.008066833,0.008098125000000001,125000000
5.0.3,2025-05-22-15,frequency,2.9319836946666666,0.01044944079424603,2.9272607920000002,3.6058453333333333,0.186782,2.924729458,2.9439608340000003,341064
5.0.3,2025-05-22-15,frequency_ignorecase,5.912290902666666,0.395381392672517,5.6960625,6.390028666666666,0.187113,5.672180458,6.36862975,169147
5.0.3,2025-05-22-15,frequency_ignorecase_index,1.3535240416666667,0.016666135341929122,1.348300708,7.965306666666666,0.23017733333333332,1.3400952080000001,1.372176209,738552
5.0.3,2025-05-22-15,frequency_index,1.0544394026666668,0.05900900781060401,1.06601175,4.459169666666667,0.22279333333333332,0.9905015,1.1068049580000001,948767
5.0.3,2025-05-22-15,frequency_index_stats_mode_auto,1.0241637223333333,0.022753791637701193,1.022026625,4.501002,0.22503333333333334,1.002553875,1.047910667,976562
5.0.3,2025-05-22-15,frequency_index_stats_mode_force,1.0077142503333334,0.05137981608164336,0.983639459,4.450496666666667,0.219894,0.9727922080000001,1.066711084,992063
